ordering,bound,n,p,group,observed,expected_real,expected_imag
disc,10000000,3039653,3,1,2623325,2553883.37,1702588.91
disc,10000000,3039653,3,Z/3^1,371389,425647.23,851294.46
disc,10000000,3039653,3,Z/3^2,38538,47294.14,283764.82
disc,10000000,3039653,3,Z/3^1 x Z/3^1,2576,5911.77,35470.60
disc,10000000,3039653,3,Z/3^3,3364,5254.90,94588.27
disc,10000000,3039653,3,Z/3^2 x Z/3^1,271,875.82,15764.71
disc,10000000,3039653,3,Z/3^1 x Z/3^1 x Z/3^1,0,8.42,151.58
disc,10000000,3039653,3,other(|A|>3^3),190,777.36,56029.64
disc,10000000,3039653,5,1,2901579,2888934.83,2311147.86
disc,10000000,3039653,5,Z/5^1,134016,144446.74,577786.97
disc,10000000,3039653,5,Z/5^2,3900,5777.87,115557.39
disc,10000000,3039653,5,Z/5^1 x Z/5^1,119,240.74,4814.89
disc,10000000,3039653,5,Z/5^3,37,231.11,23111.48
disc,10000000,3039653,5,Z/5^2 x Z/5^1,2,11.56,1155.57
disc,10000000,3039653,5,Z/5^1 x Z/5^1 x Z/5^1,0,0.02,1.55
disc,10000000,3039653,5,other(|A|>5^3),0,10.13,6077.28
disc,10000000,3039653,7,1,2974883,2967495.61,2543567.67
disc,10000000,3039653,7,Z/7^1,64043,70654.66,423927.94
disc,10000000,3039653,7,Z/7^2,709,1441.93,60561.13
disc,10000000,3039653,7,Z/7^1 x Z/7^1,17,30.04,1261.69
disc,10000000,3039653,7,Z/7^3,1,29.43,8651.59
disc,10000000,3039653,7,Z/7^2 x Z/7^1,0,0.70,205.99
disc,10000000,3039653,7,Z/7^1 x Z/7^1 x Z/7^1,0,0.00,0.08
disc,10000000,3039653,7,other(|A|>7^3),0,0.63,1476.90
disc,10000000,3039653,11,1,3016125,3012040.72,2738218.84
disc,10000000,3039653,11,Z/11^1,23479,27382.19,273821.88
disc,10000000,3039653,11,Z/11^2,49,226.30,24892.90
disc,10000000,3039653,11,Z/11^1 x Z/11^1,0,1.89,207.44
disc,10000000,3039653,11,Z/11^3,0,1.87,2262.99
disc,10000000,3039653,11,Z/11^2 x Z/11^1,0,0.02,20.57
disc,10000000,3039653,11,Z/11^1 x Z/11^1 x Z/11^1,0,0.00,0.00
disc,10000000,3039653,11,other(|A|>11^3),0,0.02,228.37
