ordering,bound,n,p,group,observed,expected_real,expected_imag
reg-narrow,5000000,4997581,3,1,2827483,4198913.17,2799275.44
reg-narrow,5000000,4997581,3,Z/3^1,1388198,699818.86,1399637.72
reg-narrow,5000000,4997581,3,Z/3^2,462701,77757.65,466545.91
reg-narrow,5000000,4997581,3,Z/3^1 x Z/3^1,54395,9719.71,58318.24
reg-narrow,5000000,4997581,3,Z/3^3,154548,8639.74,155515.30
reg-narrow,5000000,4997581,3,Z/3^2 x Z/3^1,24032,1439.96,25919.22
reg-narrow,5000000,4997581,3,Z/3^1 x Z/3^1 x Z/3^1,170,13.85,249.22
reg-narrow,5000000,4997581,3,other(|A|>3^3),86054,1278.07,92119.94
reg-narrow,5000000,4997581,5,1,3807439,4749780.92,3799824.73
reg-narrow,5000000,4997581,5,Z/5^1,947314,237489.05,949956.18
reg-narrow,5000000,4997581,5,Z/5^2,188896,9499.56,189991.24
reg-narrow,5000000,4997581,5,Z/5^1 x Z/5^1,7533,395.82,7916.30
reg-narrow,5000000,4997581,5,Z/5^3,36871,379.98,37998.25
reg-narrow,5000000,4997581,5,Z/5^2 x Z/5^1,1855,19.00,1899.91
reg-narrow,5000000,4997581,5,Z/5^1 x Z/5^1 x Z/5^1,5,0.03,2.55
reg-narrow,5000000,4997581,5,other(|A|>5^3),7668,16.65,9991.83
reg-narrow,5000000,4997581,7,1,4187157,4878944.97,4181952.83
reg-narrow,5000000,4997581,7,Z/7^1,695876,116165.36,696992.14
reg-narrow,5000000,4997581,7,Z/7^2,98154,2370.72,99570.31
reg-narrow,5000000,4997581,7,Z/7^1 x Z/7^1,2017,49.39,2074.38
reg-narrow,5000000,4997581,7,Z/7^3,12905,48.38,14224.33
reg-narrow,5000000,4997581,7,Z/7^2 x Z/7^1,311,1.15,338.67
reg-narrow,5000000,4997581,7,Z/7^1 x Z/7^1 x Z/7^1,0,0.00,0.12
reg-narrow,5000000,4997581,7,other(|A|>7^3),1161,1.03,2428.22
reg-narrow,5000000,4997581,11,1,4507458,4952182.86,4501984.42
reg-narrow,5000000,4997581,11,Z/11^1,447899,45019.84,450198.44
reg-narrow,5000000,4997581,11,Z/11^2,39275,372.06,40927.13
reg-narrow,5000000,4997581,11,Z/11^1 x Z/11^1,332,3.10,341.06
reg-narrow,5000000,4997581,11,Z/11^3,2550,3.07,3720.65
reg-narrow,5000000,4997581,11,Z/11^2 x Z/11^1,25,0.03,33.82
reg-narrow,5000000,4997581,11,Z/11^1 x Z/11^1 x Z/11^1,0,0.00,0.00
reg-narrow,5000000,4997581,11,other(|A|>11^3),42,0.03,375.47
