ordering,bound,n,p,group,observed,expected_real,expected_imag
reg-wide,2000000,3996897,3,1,2258351,3358149.36,2238766.24
reg-wide,2000000,3996897,3,Z/3^1,1111363,559691.56,1119383.12
reg-wide,2000000,3996897,3,Z/3^2,371578,62187.95,373127.71
reg-wide,2000000,3996897,3,Z/3^1 x Z/3^1,43613,7773.49,46640.96
reg-wide,2000000,3996897,3,Z/3^3,123626,6909.77,124375.90
reg-wide,2000000,3996897,3,Z/3^2 x Z/3^1,19316,1151.63,20729.32
reg-wide,2000000,3996897,3,Z/3^1 x Z/3^1 x Z/3^1,150,11.07,199.32
reg-wide,2000000,3996897,3,other(|A|>3^3),68900,1022.16,73674.43
reg-wide,2000000,3996897,5,1,3046162,3798714.84,3038971.87
reg-wide,2000000,3996897,5,Z/5^1,756859,189935.74,759742.97
reg-wide,2000000,3996897,5,Z/5^2,150874,7597.43,151948.59
reg-wide,2000000,3996897,5,Z/5^1 x Z/5^1,6109,316.56,6331.19
reg-wide,2000000,3996897,5,Z/5^3,29222,303.90,30389.72
reg-wide,2000000,3996897,5,Z/5^2 x Z/5^1,1490,15.19,1519.49
reg-wide,2000000,3996897,5,Z/5^1 x Z/5^1 x Z/5^1,2,0.02,2.04
reg-wide,2000000,3996897,5,other(|A|>5^3),6179,13.32,7991.13
reg-wide,2000000,3996897,7,1,3350274,3902015.89,3344585.05
reg-wide,2000000,3996897,7,Z/7^1,555368,92905.14,557430.84
reg-wide,2000000,3996897,7,Z/7^2,78248,1896.02,79632.98
reg-wide,2000000,3996897,7,Z/7^1 x Z/7^1,1590,39.50,1659.02
reg-wide,2000000,3996897,7,Z/7^3,10188,38.69,11376.14
reg-wide,2000000,3996897,7,Z/7^2 x Z/7^1,251,0.92,270.86
reg-wide,2000000,3996897,7,Z/7^1 x Z/7^1 x Z/7^1,0,0.00,0.10
reg-wide,2000000,3996897,7,other(|A|>7^3),978,0.83,1942.01
reg-wide,2000000,3996897,11,1,3604922,3960589.10,3600535.54
reg-wide,2000000,3996897,11,Z/11^1,358690,36005.36,360053.55
reg-wide,2000000,3996897,11,Z/11^2,30879,297.56,32732.14
reg-wide,2000000,3996897,11,Z/11^1 x Z/11^1,272,2.48,272.77
reg-wide,2000000,3996897,11,Z/11^3,2080,2.46,2975.65
reg-wide,2000000,3996897,11,Z/11^2 x Z/11^1,15,0.02,27.05
reg-wide,2000000,3996897,11,Z/11^1 x Z/11^1 x Z/11^1,0,0.00,0.00
reg-wide,2000000,3996897,11,other(|A|>11^3),39,0.02,300.29
