ordering,n,p,H,absH,obs,SE,pred_imag,pred_real,z_imag,z_real,n_rank_ge2
disc  (D <= 1e7),3039653,3,Zp,3,0.27959639,0.00041612,1.0,0.33333333,-1731.2301,-129.1374,2870
disc  (D <= 1e7),3039653,3,Zp2,9,0.08481692,0.00041582,1.0,0.11111111,-2200.8926,-63.2340,2870
disc  (D <= 1e7),3039653,3,ZpZp,9,0.04532096,0.00084558,1.0,0.11111111,-1129.0268,-77.8050,2870
disc  (D <= 1e7),3039653,5,Zp,5,0.18249320,0.00048526,1.0,0.20000000,-1684.6691,-36.0770,121
disc  (D <= 1e7),3039653,5,Zp2,25,0.02597007,0.00041519,1.0,0.04000000,-2345.9699,-33.7914,121
disc  (D <= 1e7),3039653,5,ZpZp,25,0.01910744,0.00173701,1.0,0.04000000,-564.7030,-12.0279,121
disc  (D <= 1e7),3039653,7,Zp,7,0.12808501,0.00050114,1.0,0.14285714,-1739.8663,-29.4771,17
disc  (D <= 1e7),3039653,7,Zp2,49,0.00981033,0.00036813,1.0,0.02040816,-2689.7666,-28.7881,17
disc  (D <= 1e7),3039653,7,ZpZp,49,0.01127497,0.00273457,1.0,0.02040816,-361.5644,-3.3399,17
disc  (D <= 1e7),3039653,11,Zp,11,0.07740357,0.00050267,1.0,0.09090909,-1835.3992,-26.8677,0
disc  (D <= 1e7),3039653,11,Zp2,121,0.00177323,0.00025332,1.0,0.00826446,-3940.6324,-25.6250,0
disc  (D <= 1e7),3039653,11,ZpZp,121,0.00000000,0.00000000,1.0,0.00826446,nan,nan,0
disc-window (D ~ 1e12),250000,3,Zp,3,0.32631200,0.00161081,1.0,0.33333333,-418.2300,-4.3589,534
disc-window (D ~ 1e12),250000,3,Zp2,9,0.10932000,0.00170316,1.0,0.11111111,-522.9575,-1.0516,534
disc-window (D ~ 1e12),250000,3,ZpZp,9,0.10252800,0.00443209,1.0,0.11111111,-202.4942,-1.9366,534
disc-window (D ~ 1e12),250000,5,Zp,5,0.19790400,0.00176994,1.0,0.20000000,-453.1766,-1.1842,16
disc-window (D ~ 1e12),250000,5,Zp2,25,0.04024000,0.00179241,1.0,0.04000000,-535.4577,0.1339,16
disc-window (D ~ 1e12),250000,5,ZpZp,25,0.03072000,0.00767977,1.0,0.04000000,-126.2121,-1.2084,16
disc-window (D ~ 1e12),250000,7,Zp,7,0.14522400,0.00186160,1.0,0.14285714,-459.1629,1.2714,2
disc-window (D ~ 1e12),250000,7,Zp2,49,0.02217600,0.00192967,1.0,0.02040816,-506.7319,0.9161,2
disc-window (D ~ 1e12),250000,7,ZpZp,49,0.01612800,0.01140420,1.0,0.02040816,-86.2728,-0.3753,2
disc-window (D ~ 1e12),250000,11,Zp,11,0.09100000,0.00195399,1.0,0.09090909,-465.2011,0.0465,1
disc-window (D ~ 1e12),250000,11,Zp2,121,0.00748000,0.00181411,1.0,0.00826446,-547.1117,-0.4324,1
disc-window (D ~ 1e12),250000,11,ZpZp,121,0.05280000,0.05280000,1.0,0.00826446,-17.9394,0.8435,1
reg-wide (eps <= 1e+05),199262,3,Zp,3,0.92700063,0.00292687,1.0,0.33333333,-24.9411,202.8337,2933
reg-wide (eps <= 1e+05),199262,3,Zp2,9,0.89460108,0.00558384,1.0,0.11111111,-18.8757,140.3139,2933
reg-wide (eps <= 1e+05),199262,3,ZpZp,9,0.71230842,0.01368015,1.0,0.11111111,-21.0299,43.9467,2933
reg-wide (eps <= 1e+05),199262,5,Zp,5,0.96000241,0.00431829,1.0,0.20000000,-9.2624,175.9961,331
reg-wide (eps <= 1e+05),199262,5,Zp2,25,0.86990997,0.00977778,1.0,0.04000000,-13.3047,84.8771,331
reg-wide (eps <= 1e+05),199262,5,ZpZp,25,0.79734219,0.04378959,1.0,0.04000000,-4.6280,17.2950,331
reg-wide (eps <= 1e+05),199262,7,Zp,7,0.95241441,0.00532833,1.0,0.14285714,-8.9307,151.9344,84
reg-wide (eps <= 1e+05),199262,7,Zp2,49,0.79189208,0.01343728,1.0,0.02040816,-15.4874,57.4137,84
reg-wide (eps <= 1e+05),199262,7,ZpZp,49,0.84985597,0.09270757,1.0,0.02040816,-1.6195,8.9469,84
reg-wide (eps <= 1e+05),199262,11,Zp,11,0.93981793,0.00685962,1.0,0.09090909,-8.7734,123.7545,13
reg-wide (eps <= 1e+05),199262,11,Zp2,121,0.63263442,0.01951289,1.0,0.00826446,-18.8268,31.9978,13
reg-wide (eps <= 1e+05),199262,11,ZpZp,121,0.86117775,0.23884054,1.0,0.00826446,-0.5812,3.5711,13
reg-wide (eps <= 1e+06),1997783,3,Zp,3,0.97259212,0.00097006,1.0,0.33333333,-28.2538,658.9890,35455
reg-wide (eps <= 1e+06),1997783,3,Zp2,9,0.96539314,0.00192143,1.0,0.11111111,-18.0110,444.6083,35455
reg-wide (eps <= 1e+06),1997783,3,ZpZp,9,0.88069625,0.00545688,1.0,0.11111111,-21.8630,141.0304,35455
reg-wide (eps <= 1e+06),1997783,5,Zp,5,0.98608307,0.00139390,1.0,0.20000000,-9.9841,563.9439,3756
reg-wide (eps <= 1e+06),1997783,5,Zp2,25,0.96373830,0.00334674,1.0,0.04000000,-10.8349,276.0117,3756
reg-wide (eps <= 1e+06),1997783,5,ZpZp,25,0.90964835,0.01648729,1.0,0.04000000,-5.4801,52.7466,3756
reg-wide (eps <= 1e+06),1997783,7,Zp,7,0.98547640,0.00170883,1.0,0.14285714,-8.4991,493.0958,884
reg-wide (eps <= 1e+06),1997783,7,Zp2,49,0.93522169,0.00463956,1.0,0.02040816,-13.9622,197.1769,884
reg-wide (eps <= 1e+06),1997783,7,ZpZp,49,0.89206085,0.02999662,1.0,0.02040816,-3.5984,29.0584,884
reg-wide (eps <= 1e+06),1997783,11,Zp,11,0.98098742,0.00220948,1.0,0.09090909,-8.6050,402.8459,137
reg-wide (eps <= 1e+06),1997783,11,Zp2,121,0.86930362,0.00710549,1.0,0.00826446,-18.3937,121.1795,137
reg-wide (eps <= 1e+06),1997783,11,ZpZp,121,0.90520342,0.07733411,1.0,0.00826446,-1.2258,11.5982,137
reg-wide (eps <= 2e+06),3996897,3,Zp,3,0.98127272,0.00069271,1.0,0.33333333,-27.0347,935.3644,73391
reg-wide (eps <= 2e+06),3996897,3,Zp2,9,0.97740372,0.00137816,1.0,0.11111111,-16.3960,628.5857,73391
reg-wide (eps <= 2e+06),3996897,3,ZpZp,9,0.91826835,0.00407143,1.0,0.11111111,-20.0744,198.2492,73391
reg-wide (eps <= 2e+06),3996897,5,Zp,5,0.99090870,0.00099213,1.0,0.20000000,-9.1635,797.1865,7871
reg-wide (eps <= 2e+06),3996897,5,Zp2,25,0.97678274,0.00242299,1.0,0.04000000,-9.5821,386.6223,7871
reg-wide (eps <= 2e+06),3996897,5,ZpZp,25,0.95245887,0.01187360,1.0,0.04000000,-4.0039,76.8477,7871
reg-wide (eps <= 2e+06),3996897,7,Zp,7,0.99031674,0.00121531,1.0,0.14285714,-7.9677,697.3169,1868
reg-wide (eps <= 2e+06),3996897,7,Zp2,49,0.95974102,0.00333825,1.0,0.02040816,-12.0599,281.3846,1868
reg-wide (eps <= 2e+06),3996897,7,ZpZp,49,0.94220291,0.02179488,1.0,0.02040816,-2.6519,42.2941,1868
reg-wide (eps <= 2e+06),3996897,11,Zp,11,0.98859690,0.00157036,1.0,0.09090909,-7.2614,571.6442,287
reg-wide (eps <= 2e+06),3996897,11,Zp2,121,0.91269052,0.00511467,1.0,0.00826446,-17.0704,176.8299,287
reg-wide (eps <= 2e+06),3996897,11,ZpZp,121,0.94783528,0.05594695,1.0,0.00826446,-0.9324,16.7940,287
reg-narrow (eps+ <= 2e6),1998450,3,Zp,3,0.96828042,0.00096655,1.0,0.33333333,-32.8174,656.9229,34914
reg-narrow (eps+ <= 2e6),1998450,3,Zp2,9,0.96068153,0.00192109,1.0,0.11111111,-20.4668,442.2344,34914
reg-narrow (eps+ <= 2e6),1998450,3,ZpZp,9,0.86798469,0.00544521,1.0,0.11111111,-24.2443,138.9980,34914
reg-narrow (eps+ <= 2e6),1998450,5,Zp,5,0.98614226,0.00139519,1.0,0.20000000,-9.9325,563.4666,3792
reg-narrow (eps+ <= 2e6),1998450,5,Zp2,25,0.96192549,0.00342399,1.0,0.04000000,-11.1199,269.2551,3792
reg-narrow (eps+ <= 2e6),1998450,5,ZpZp,25,0.91799144,0.01654444,1.0,0.04000000,-4.9569,53.0687,3792
reg-narrow (eps+ <= 2e6),1998450,7,Zp,7,0.98619230,0.00171099,1.0,0.14285714,-8.0700,492.8918,898
reg-narrow (eps+ <= 2e6),1998450,7,Zp2,49,0.93493057,0.00461401,1.0,0.02040816,-14.1026,198.2056,898
reg-narrow (eps+ <= 2e6),1998450,7,ZpZp,49,0.90588606,0.03022302,1.0,0.02040816,-3.1140,29.2981,898
reg-narrow (eps+ <= 2e6),1998450,11,Zp,11,0.98173084,0.00221349,1.0,0.09090909,-8.2536,402.4520,142
reg-narrow (eps+ <= 2e6),1998450,11,Zp2,121,0.86455503,0.00703891,1.0,0.00826446,-19.2423,121.6510,142
reg-narrow (eps+ <= 2e6),1998450,11,ZpZp,121,0.93792689,0.07870630,1.0,0.00826446,-0.7887,11.8118,142
