ordering,bound,n,p,M_p,SE,bootSE,pred_real,pred_imag,z_real,z_imag,chi2_real,chi2p_real,df_real,chi2_imag,chi2p_imag,df_imag,rank0,rank1,rank2plus,pred_rank0_real,pred_rank0_imag,verdict
disc,100000,30394,3,0.21846417,0.00361462,0.00371780,0.33333333,1.0,-31.7791,-216.2155,656.9432,1.205638e-138,6,13827.6405,0.000000e+00,6,0.891261,0.108574,0.000165,0.840189,0.560126,neither
disc,100000,30394,5,0.14134369,0.00423613,0.00425592,0.20000000,1.0,-13.8467,-202.6982,148.7124,5.099444e-33,2,7000.7770,0.000000e+00,6,0.964664,0.035336,0.000000,0.950416,0.760333,neither
disc,100000,30394,7,0.08547740,0.00407848,0.00405840,0.14285714,1.0,-14.0689,-224.2310,122.5431,2.455312e-27,2,4944.4002,0.000000e+00,5,0.985754,0.014246,0.000000,0.976261,0.836795,neither
disc,100000,30394,11,0.03849444,0.00355201,0.00363122,0.09090909,1.0,-14.7563,-270.6930,92.5201,6.664322e-22,1,3091.6339,0.000000e+00,3,0.996151,0.003849,0.000000,0.990916,0.900833,neither
disc,1000000,303957,3,0.25370036,0.00124146,0.00123544,0.33333333,1.0,-64.1448,-601.1483,3112.1976,0.000000e+00,6,125614.0109,0.000000e+00,7,0.874739,0.124731,0.000530,0.840189,0.560126,neither
disc,1000000,303957,5,0.16544445,0.00145009,0.00147262,0.20000000,1.0,-23.8300,-575.5213,586.1797,1.517694e-125,4,66096.6988,0.000000e+00,6,0.958688,0.041302,0.000010,0.950416,0.760333,neither
disc,1000000,303957,7,0.11287123,0.00147856,0.00145248,0.14285714,1.0,-20.2805,-599.9964,369.0291,1.129764e-79,3,46507.0250,0.000000e+00,6,0.981188,0.018812,0.000000,0.976261,0.836795,neither
disc,1000000,303957,11,0.06333133,0.00143888,0.00150107,0.09090909,1.0,-19.1661,-650.9710,266.8080,1.157099e-58,2,29335.8543,0.000000e+00,5,0.993667,0.006333,0.000000,0.990916,0.900833,neither
disc,10000000,3039653,3,0.27959639,0.00041612,0.00041127,0.33333333,1.0,-129.1374,-1731.2301,13858.2501,0.000000e+00,7,1169898.6342,0.000000e+00,7,0.863034,0.136021,0.000944,0.840189,0.560126,neither
disc,10000000,3039653,5,0.18249320,0.00048526,0.00046414,0.20000000,1.0,-36.0770,-1684.6691,1661.5398,0.000000e+00,6,634414.3848,0.000000e+00,6,0.954576,0.045384,0.000040,0.950416,0.760333,neither
disc,10000000,3039653,7,0.12808501,0.00050114,0.00049358,0.14285714,1.0,-29.4771,-1739.8663,1044.0874,9.950182e-225,4,449367.4419,0.000000e+00,6,0.978692,0.021303,0.000006,0.976261,0.836795,neither
disc,10000000,3039653,11,0.07740357,0.00050267,0.00050543,0.09090909,1.0,-26.8677,-1835.3992,704.4404,1.078221e-153,2,284596.6115,0.000000e+00,6,0.992260,0.007740,0.000000,0.990916,0.900833,neither
disc-window(D~1e12),100000000000000,250000,3,0.32631200,0.00161081,0.00162565,0.33333333,1.0,-4.3589,-418.2300,19.5116,3.381507e-03,6,84935.8530,0.000000e+00,7,0.843252,0.154612,0.002136,0.840189,0.560126,"undecided(real=undecided,imag=reject)"
disc-window(D~1e12),100000000000000,250000,5,0.19790400,0.00176994,0.00180058,0.20000000,1.0,-1.1842,-453.1766,3.6540,4.548544e-01,4,50212.6112,0.000000e+00,6,0.950844,0.049092,0.000064,0.950416,0.760333,H_real
disc-window(D~1e12),100000000000000,250000,7,0.14522400,0.00186160,0.00178930,0.14285714,1.0,1.2714,-459.1629,2.8926,4.084868e-01,3,35506.8717,0.000000e+00,6,0.975852,0.024140,0.000008,0.976261,0.836795,H_real
disc-window(D~1e12),100000000000000,250000,11,0.09100000,0.00195399,0.00193006,0.09090909,1.0,0.0465,-465.2011,0.0617,9.696090e-01,2,22741.4996,0.000000e+00,5,0.990944,0.009052,0.000004,0.990916,0.900833,H_real
reg-wide,10000,19752,3,0.83464966,0.00839099,0.00834427,0.33333333,1.0,59.7446,-19.7057,17647.5278,0.000000e+00,6,423.6889,2.250237e-88,6,0.608799,0.382493,0.008708,0.840189,0.560126,neither
reg-wide,10000,19752,5,0.87160794,0.01255952,0.01283348,0.20000000,1.0,53.4740,-10.2227,15390.9578,0.000000e+00,2,234.9265,6.800424e-48,6,0.786148,0.213042,0.000810,0.950416,0.760333,neither
reg-wide,10000,19752,7,0.86573512,0.01550969,0.01465005,0.14285714,1.0,46.6082,-8.6568,15088.0832,0.000000e+00,2,159.9434,1.017684e-32,5,0.856774,0.143074,0.000152,0.976261,0.836795,neither
reg-wide,10000,19752,11,0.77460510,0.01989075,0.01947496,0.09090909,1.0,34.3726,-11.3316,10092.6744,0.000000e+00,1,172.8335,3.111235e-37,3,0.923096,0.076853,0.000051,0.990916,0.900833,neither
reg-wide,100000,199262,3,0.92700063,0.00292687,0.00302536,0.33333333,1.0,202.8337,-24.9411,337459.1259,0.000000e+00,6,756.4491,4.622015e-159,7,0.580748,0.404533,0.014719,0.840189,0.560126,neither
reg-wide,100000,199262,5,0.96000241,0.00431829,0.00429005,0.20000000,1.0,175.9961,-9.2624,313739.6072,0.000000e+00,4,363.9237,1.580059e-75,6,0.768305,0.230034,0.001661,0.950416,0.760333,neither
reg-wide,100000,199262,7,0.95241441,0.00532833,0.00514465,0.14285714,1.0,151.9344,-8.9307,251582.8813,0.000000e+00,2,356.6954,5.635740e-74,6,0.844215,0.155363,0.000422,0.976261,0.836795,neither
reg-wide,100000,199262,11,0.93981793,0.00685962,0.00702859,0.09090909,1.0,123.7545,-8.7734,222808.1073,0.000000e+00,2,323.4459,9.081386e-68,5,0.906736,0.093199,0.000065,0.990916,0.900833,neither
reg-wide,1000000,1997783,3,0.97259212,0.00097006,0.00099438,0.33333333,1.0,658.9890,-28.2538,4490899.4930,0.000000e+00,7,918.8586,4.061842e-194,7,0.567396,0.414857,0.017747,0.840189,0.560126,neither
reg-wide,1000000,1997783,5,0.98608307,0.00139390,0.00135814,0.20000000,1.0,563.9439,-9.9841,4807509.0278,0.000000e+00,6,501.9126,3.256091e-105,6,0.762892,0.235228,0.001880,0.950416,0.760333,neither
reg-wide,1000000,1997783,7,0.98547640,0.00170883,0.00169556,0.14285714,1.0,493.0958,-8.4991,4034070.4396,0.000000e+00,4,604.2955,2.761792e-127,6,0.838851,0.160706,0.000442,0.976261,0.836795,neither
reg-wide,1000000,1997783,11,0.98098742,0.00220948,0.00219407,0.09090909,1.0,402.8459,-8.6050,3074519.4909,0.000000e+00,2,563.7318,1.546432e-118,6,0.902656,0.097276,0.000069,0.990916,0.900833,neither
reg-wide,2000000,3996897,3,0.98127272,0.00069271,0.00068953,0.33333333,1.0,935.3644,-27.0347,9375699.4644,0.000000e+00,7,854.2929,3.548697e-180,7,0.565026,0.416612,0.018362,0.840189,0.560126,neither
reg-wide,2000000,3996897,5,0.99090870,0.00099213,0.00101104,0.20000000,1.0,797.1865,-9.1635,10396097.6902,0.000000e+00,6,499.6446,1.002927e-104,6,0.762132,0.235899,0.001969,0.950416,0.760333,neither
reg-wide,2000000,3996897,7,0.99031674,0.00121531,0.00119480,0.14285714,1.0,697.3169,-7.9677,8715897.2522,0.000000e+00,4,648.4223,8.321349e-137,6,0.838219,0.161314,0.000467,0.976261,0.836795,neither
reg-wide,2000000,3996897,11,0.98859690,0.00157036,0.00160270,0.09090909,1.0,571.6442,-7.2614,6519496.2662,0.000000e+00,2,617.7368,3.479307e-130,6,0.901930,0.097998,0.000072,0.990916,0.900833,neither
reg-narrow,10000,9878,3,0.79631504,0.01144515,0.01155358,0.33333333,1.0,40.4522,-17.7966,6313.1904,0.000000e+00,5,355.1390,1.216588e-73,6,0.622798,0.370217,0.006985,0.840189,0.560126,neither
reg-narrow,10000,9878,5,0.82972262,0.01748368,0.01825804,0.20000000,1.0,36.0177,-9.7392,6226.5267,0.000000e+00,2,169.4320,9.644634e-35,5,0.796619,0.202571,0.000810,0.950416,0.760333,neither
reg-narrow,10000,9878,7,0.78781130,0.02038960,0.02012977,0.14285714,1.0,31.6315,-10.4067,4931.4374,0.000000e+00,1,166.4813,5.950588e-35,4,0.868698,0.131302,0.000000,0.976261,0.836795,neither
reg-narrow,10000,9878,11,0.68637376,0.02544059,0.02463314,0.09090909,1.0,23.4061,-12.3278,3891.9427,0.000000e+00,1,144.5057,4.035014e-31,3,0.931363,0.068637,0.000000,0.990916,0.900833,neither
reg-narrow,100000,99633,3,0.89950117,0.00403361,0.00420724,0.33333333,1.0,140.3625,-24.9153,136751.7629,0.000000e+00,6,777.2339,1.276614e-164,6,0.589694,0.397158,0.013148,0.840189,0.560126,neither
reg-narrow,100000,99633,5,0.93671775,0.00594782,0.00601216,0.20000000,1.0,123.8635,-10.6396,125586.6772,0.000000e+00,4,398.6415,5.476764e-83,6,0.772646,0.225989,0.001365,0.950416,0.760333,neither
reg-narrow,100000,99633,7,0.92722291,0.00728693,0.00731208,0.14285714,1.0,107.6401,-9.9874,107435.0589,0.000000e+00,2,345.3403,1.544321e-71,6,0.847500,0.152209,0.000291,0.976261,0.836795,neither
reg-narrow,100000,99633,11,0.90542290,0.00951982,0.00946364,0.09090909,1.0,85.5597,-9.9348,89427.7735,0.000000e+00,2,299.2225,1.471712e-62,5,0.910120,0.089820,0.000060,0.990916,0.900833,neither
reg-narrow,1000000,998893,3,0.95671508,0.00134912,0.00135127,0.33333333,1.0,462.0657,-32.0838,2072284.5809,0.000000e+00,6,1164.2297,3.833029e-247,7,0.571837,0.411549,0.016614,0.840189,0.560126,neither
reg-narrow,1000000,998893,5,0.97853924,0.00195449,0.00197065,0.20000000,1.0,398.3332,-10.9802,1998728.6792,0.000000e+00,5,589.1926,4.998255e-124,6,0.764315,0.233895,0.001790,0.950416,0.760333,neither
reg-narrow,1000000,998893,7,0.97961243,0.00240588,0.00240933,0.14285714,1.0,347.7961,-8.4741,1805142.7598,0.000000e+00,4,593.3329,6.394878e-125,6,0.839731,0.159841,0.000428,0.976261,0.836795,neither
reg-narrow,1000000,998893,11,0.97093482,0.00311699,0.00318165,0.09090909,1.0,282.3318,-9.3248,1408206.8071,0.000000e+00,2,557.1258,4.107847e-117,6,0.903688,0.096241,0.000071,0.990916,0.900833,neither
reg-narrow,2000000,1998450,3,0.96828042,0.00096655,0.00097362,0.33333333,1.0,656.9229,-32.8174,4424300.4606,0.000000e+00,7,1227.5400,7.821395e-261,7,0.568731,0.413799,0.017471,0.840189,0.560126,neither
