time us,CH1 mV
0,-9.6
4.00E-04,-19.2
8.00E-04,-8
1.20E-03,-4.8
1.60E-03,28.8
2.00E-03,2.4
2.40E-03,-4
2.80E-03,6.4
3.20E-03,27.2
3.60E-03,1.6
4.00E-03,2.4
4.40E-03,-8
4.80E-03,19.2
5.20E-03,11.2
5.60E-03,19.2
6.00E-03,4.8
6.40E-03,-7.2
6.80E-03,12
7.20E-03,18.4
7.60E-03,24
8.00E-03,4
8.40E-03,4
8.80E-03,-2.4
9.20E-03,-12.8
9.60E-03,-9.6
1.00E-02,17.6
1.04E-02,27.2
1.08E-02,-22.4
1.12E-02,0
1.16E-02,-4
1.20E-02,-5.6
1.24E-02,-13.6
1.28E-02,-42.4
1.32E-02,-28.8
1.36E-02,-9.6
1.40E-02,-31.2
1.44E-02,-45.6
1.48E-02,-34.4
1.52E-02,-44.8
1.56E-02,-21.6
1.60E-02,-12
1.64E-02,4
1.68E-02,-7.2
1.72E-02,8
1.76E-02,4.8
1.80E-02,-8.8
1.84E-02,4
1.88E-02,18.4
1.92E-02,17.6
1.96E-02,15.2
2.00E-02,-4.8
2.04E-02,-2.4
2.08E-02,8
2.12E-02,-19.2
2.16E-02,20
2.20E-02,11.2
2.24E-02,15.2
2.28E-02,4.8
2.32E-02,-21.6
2.36E-02,24
2.40E-02,46.4
2.44E-02,17.6
2.48E-02,8
2.52E-02,-12
2.56E-02,0
2.60E-02,-14.4
2.64E-02,2.4
2.68E-02,-3.2
2.72E-02,0
2.76E-02,-5.6
2.80E-02,-2.4
2.84E-02,-15.2
2.88E-02,-20.8
2.92E-02,-18.4
2.96E-02,-1.6
3.00E-02,30.4
3.04E-02,43.2
3.08E-02,16.8
3.12E-02,-12
3.16E-02,-15.2
3.20E-02,-10.4
3.24E-02,11.2
3.28E-02,29.6
3.32E-02,-4
3.36E-02,-12.8
3.40E-02,-0.8
3.44E-02,-9.6
3.48E-02,-12.8
3.52E-02,-2.4
3.56E-02,-14.4
3.60E-02,-1.6
3.64E-02,-5.6
3.68E-02,2.4
3.72E-02,0.8
3.76E-02,-1.6
3.80E-02,-4.8
3.84E-02,-16
3.88E-02,-32
3.92E-02,-25.6
3.96E-02,30.4
4.00E-02,13.6
4.04E-02,6.4
4.08E-02,20
4.12E-02,25.6
4.16E-02,8.8
4.20E-02,-10.4
4.24E-02,-0.8
4.28E-02,4.8
4.32E-02,-28
4.36E-02,-5.6
4.40E-02,-16.8
4.44E-02,-2.4
4.48E-02,-33.6
4.52E-02,-12.8
4.56E-02,13.6
4.60E-02,0
4.64E-02,-17.6
4.68E-02,4
4.72E-02,8.8
4.76E-02,-16.8
4.80E-02,-2.4
4.84E-02,-7.2
4.88E-02,0
4.92E-02,-4.8
4.96E-02,-3.2
5.00E-02,0.8
5.04E-02,32
5.08E-02,32.8
5.12E-02,12
5.16E-02,0
5.20E-02,20.8
5.24E-02,15.2
5.28E-02,-1.6
5.32E-02,-8.8
5.36E-02,1.6
5.40E-02,-2.4
5.44E-02,1.6
5.48E-02,-5.6
5.52E-02,3.2
5.56E-02,-19.2
5.60E-02,8.8
5.64E-02,26.4
5.68E-02,0
5.72E-02,28.8
5.76E-02,8
5.80E-02,4
5.84E-02,-18.4
5.88E-02,-25.6
5.92E-02,-18.4
5.96E-02,-11.2
6.00E-02,-16.8
6.04E-02,-11.2
6.08E-02,-9.6
6.12E-02,3.2
6.16E-02,-7.2
6.20E-02,-32
6.24E-02,-32.8
6.28E-02,-15.2
6.32E-02,-2.4
6.36E-02,8.8
6.40E-02,8.8
6.44E-02,-16
6.48E-02,0.8
6.52E-02,-0.8
6.56E-02,7.2
6.60E-02,0
6.64E-02,-7.2
6.68E-02,9.6
6.72E-02,3.2
6.76E-02,2.4
6.80E-02,-12
6.84E-02,-17.6
6.88E-02,-8.8
6.92E-02,-8.8
6.96E-02,0
7.00E-02,-13.6
7.04E-02,-33.6
7.08E-02,-23.2
7.12E-02,0
7.16E-02,-10.4
7.20E-02,-6.4
7.24E-02,1.6
7.28E-02,-12.8
7.32E-02,-13.6
7.36E-02,-9.6
7.40E-02,-28.8
7.44E-02,22.4
7.48E-02,23.2
7.52E-02,-26.4
7.56E-02,17.6
7.60E-02,18.4
7.64E-02,33.6
7.68E-02,14.4
7.72E-02,14.4
7.76E-02,1.6
7.80E-02,10.4
7.84E-02,-6.4
7.88E-02,-1.6
7.92E-02,-4
7.96E-02,-21.6
8.00E-02,-23.2
8.04E-02,-30.4
8.08E-02,-12
8.12E-02,-32
8.16E-02,-37.6
8.20E-02,-46.4
8.24E-02,-12.8
8.28E-02,16.8
8.32E-02,-8
8.36E-02,-23.2
8.40E-02,4.8
8.44E-02,12
8.48E-02,21.6
8.52E-02,6.4
8.56E-02,19.2
8.60E-02,26.4
8.64E-02,21.6
8.68E-02,-23.2
8.72E-02,-1.6
8.76E-02,4.8
8.80E-02,22.4
8.84E-02,14.4
8.88E-02,-7.2
8.92E-02,19.2
8.96E-02,32
9.00E-02,23.2
9.04E-02,-3.2
9.08E-02,-24
9.12E-02,2.4
9.16E-02,15.2
9.20E-02,20
9.24E-02,28.8
9.28E-02,18.4
9.32E-02,1.6
9.36E-02,10.4
9.40E-02,-5.6
9.44E-02,-0.8
9.48E-02,6.4
9.52E-02,-4.8
9.56E-02,-0.8
9.60E-02,-0.8
9.64E-02,-21.6
9.68E-02,-19.2
9.72E-02,10.4
9.76E-02,8.8
9.80E-02,19.2
9.84E-02,-8.8
9.88E-02,-12.8
9.92E-02,-4.8
9.96E-02,-8
1.00E-01,-16.8
1.00E-01,-4.8
1.01E-01,24.8
1.01E-01,39.2
1.02E-01,44.8
1.02E-01,44.8
1.02E-01,21.6
1.03E-01,18.4
1.03E-01,0.8
1.04E-01,-12.8
1.04E-01,-13.6
1.04E-01,-12.8
1.05E-01,-7.2
1.05E-01,-12.8
1.06E-01,0
1.06E-01,-25.6
1.06E-01,-54.4
1.07E-01,-15.2
1.07E-01,-4
1.08E-01,-8.8
1.08E-01,-2.4
1.08E-01,-20.8
1.09E-01,-10.4
1.09E-01,8
1.10E-01,9.6
1.10E-01,7.2
1.10E-01,-19.2
1.11E-01,-4
1.11E-01,18.4
1.12E-01,11.2
1.12E-01,8
1.12E-01,-19.2
1.13E-01,-8
1.13E-01,-18.4
1.14E-01,-28
1.14E-01,-41.6
1.14E-01,-28
1.15E-01,0
1.15E-01,-3.2
1.16E-01,10.4
1.16E-01,8.8
1.16E-01,8.8
1.17E-01,15.2
1.17E-01,20
1.18E-01,8.8
1.18E-01,8
1.18E-01,8
1.19E-01,23.2
1.19E-01,31.2
1.20E-01,14.4
1.20E-01,-1.6
1.20E-01,13.6
1.21E-01,42.4
1.21E-01,19.2
1.22E-01,-8.8
1.22E-01,-13.6
1.22E-01,20
1.23E-01,-0.8
1.23E-01,-8
1.24E-01,-0.8
1.24E-01,12
1.24E-01,4.8
1.25E-01,-4.8
1.25E-01,0
1.26E-01,-1.6
1.26E-01,-12
1.26E-01,-11.2
1.27E-01,-10.4
1.27E-01,-20
1.28E-01,-20.8
1.28E-01,-6.4
1.28E-01,-23.2
1.29E-01,-21.6
1.29E-01,-30.4
1.30E-01,-7.2
