coupling,m2_name,m2_val,trace_free,trace_corr,ratio,gsm_matches,n_corrections,p_value,matched_exponents
f1_linear,0.1,0.100000,7.1688648145,6.7152626940,0.9367260881,5,5,0.062855,"[5, 16, 18, 18, 18]"
f2_quadratic,0.1,0.100000,7.1688648145,6.8863081077,0.9605855719,2,5,0.892336,"[6, 17]"
f3_boundary,0.1,0.100000,7.1688648145,6.9771960390,0.9732637202,5,5,0.062855,"[7, 18, 20, 20, 20]"
f1_linear,0.5,0.500000,3.1526554528,3.1437285155,0.9971684387,3,5,0.638530,"[10, 18, 20]"
f2_quadratic,0.5,0.500000,3.1526554528,3.1472532002,0.9982864437,3,5,0.638530,"[20, 20, 20]"
f3_boundary,0.5,0.500000,3.1526554528,3.1490943346,0.9988704385,2,5,0.892336,"[12, 20]"
f1_linear,1.0,1.000000,2.6327510242,2.6307426037,0.9992371400,4,5,0.295145,"[12, 20, 20, 20]"
f2_quadratic,1.0,1.000000,2.6327510242,2.6315272947,0.9995351898,2,5,0.892336,"[13, 20]"
f3_boundary,1.0,1.000000,2.6327510242,2.6319631206,0.9997007299,1,5,0.986134,[14]
f1_linear,2.0,2.000000,2.3440860215,2.3435258965,0.9997610476,4,5,0.295145,"[13, 20, 20, 20]"
f2_quadratic,2.0,2.000000,2.3440860215,2.3437376384,0.9998513778,2,5,0.892336,"[14, 20]"
f3_boundary,2.0,2.000000,2.3440860215,2.3438739556,0.9999095315,1,5,0.986134,[15]
f1_linear,5.0,5.000000,2.0864435355,2.0862659398,0.9999148811,3,5,0.638530,"[15, 20, 20]"
f2_quadratic,5.0,5.000000,2.0864435355,2.0863284535,0.9999448430,2,5,0.892336,"[17, 20]"
f3_boundary,5.0,5.000000,2.0864435355,2.0863810028,0.9999700290,1,5,0.986134,[17]
f1_linear,phi,1.618034,2.4176959188,2.4168934214,0.9996680735,4,5,0.295145,"[13, 20, 20, 20]"
f2_quadratic,phi,1.618034,2.4176959188,2.4172007741,0.9997951998,2,5,0.892336,"[14, 20]"
f3_boundary,phi,1.618034,2.4176959188,2.4173879200,0.9998726065,1,5,0.986134,[15]
f1_linear,phi^2,2.618034,2.2619023316,2.2615298026,0.9998353028,4,5,0.295145,"[14, 20, 20, 20]"
f2_quadratic,phi^2,2.618034,2.2619023316,2.2616678444,0.9998963319,2,5,0.892336,"[15, 20]"
f3_boundary,phi^2,2.618034,2.2619023316,2.2617641530,0.9999389104,1,5,0.986134,[16]
f1_linear,phi^(-1),0.618034,2.9569382524,2.9513747237,0.9981184833,4,5,0.295145,"[10, 18, 20, 20]"
f2_quadratic,phi^(-1),0.618034,2.9569382524,2.9535680883,0.9988602521,2,5,0.892336,"[20, 20]"
f3_boundary,phi^(-1),0.618034,2.9569382524,2.9547278502,0.9992524693,2,5,0.892336,"[12, 20]"
f1_linear,1/30,0.033333,17.1715915954,10.9129471959,0.6355233372,5,5,0.062855,"[2, 15, 16, 16, 16]"
f2_quadratic,1/30,0.033333,17.1715915954,12.6640293465,0.7374988670,5,5,0.062855,"[2, 16, 17, 17, 17]"
f3_boundary,1/30,0.033333,17.1715915954,13.8335855030,0.8056088119,5,5,0.062855,"[3, 17, 18, 18, 18]"
